hospitals,,,,,
index,x,y,,Name,address,coordinates (approx) from google maps
1,-74.00466604475353,40.70980186149479,,NEW YORK PRESBYTERIAN-LOWER MANHATTAN,170 William St,"40.709802, -74.004666"
2,-73.97458032254028,40.73948801830987,,BELLEVUE HOSPITAL,462 First Ave,"40.739488, -73.974580"
3,-73.98273048098619,40.73314264673901,,MOUNT SINAI BETH ISRAEL,281 1st Ave,"40.733143, -73.982730"
4,-73.96332389763741,40.76426880075671,,"NORTHWELL HEALTH-MANHATTAN EYE, EAR AND THROAT HOSPITAL",210 E 64 St,"40.764269, -73.963324"
5,-74.0013698909809,40.7375167182879,,NORTHWELL HEALTH-LENOX HEALTH GREENWICH VILLAGE,219 W 12 St,"40.737517, -74.001370"
6,-73.9371965677561,40.813443109086215,,NYC HEALTH & HOSPITALS HARLEM,506 Lenox Ave,"40.813443, -73.937197"
7,-73.95642345906991,40.76381114452806,,MEMORIAL SLOAN KETTERING-CANCER & ALLIED DISEASES,1275 York Ave,"40.763811, -73.956423"
8,-73.97824809578981,40.737286949921135,,VETERAN AFFAIRS HARBOR HEALTH CARE SYSTEM MANHATTAN CAMPUS,423 E 23 St,"40.737287, -73.978248"
9,-73.96059992360162,40.77395552927868,,NORTHWELL HEALTH-LENOX HILL HOSPITAL,100 E 77 St,"40.773956, -73.960600"
10,-73.9460794667444,40.784724532657314,,NYC HEALTH & HOSPITALS METROPOLITAN,1901 First Ave,"40.784725, -73.946079"
11,-73.95226846600605,40.790599207460474,,MOUNT SINAI HOSPITAL,1468 Madison Ave,"40.790599, -73.952268"
12,-73.95411325578468,40.765296910452626,,NEW YORK PRESBYTERIAN -WEILL CORNELL MEDICAL CENTER,525 E 68 St,"40.765297, -73.954113"
13,-73.97404630962644,40.74305290724194,,NYU LANGONE MEDICAL CENTER - RONALD O. PERLMAN CENTER,550 First Ave,"40.743053, -73.974046"
14,-73.91281567458182,40.872335077656054,,NEW YORK PRESBYTERIAN -THE ALLEN HOSPITAL,5141 Broadway,"40.872335, -73.912816"
15,-73.94036220812389,40.84133292367342,,NEW YORK PRESBYTERIAN-COLUMBIA UNIVERSITY MEDICAL CENTER,622 W 168 St,"40.841333, -73.940362"
16,-73.98623999304036,40.769842030599,,MOUNT SINAI WEST,1000 Tenth Ave,"40.769842, -73.986240"
17,-73.96198435026456,40.80468205425588,,MOUNT SINAI MORNINGSIDE,1111 Amsterdam Ave,"40.804682, -73.961984"
